C,K,rounds,epochs,df_loc
1,12,10,1,./data/acc_test_20210826-005424.csv
1,12,10,1,./data/acc_test_20210826-005501.csv
1,12,10,3,./data/acc_test_20210826-005616.csv
1,12,10,3,./data/acc_test_20210826-005730.csv
1,12,10,7,./data/acc_test_20210826-010000.csv
1,12,10,7,./data/acc_test_20210826-010327.csv
1,50,10,1,./data/acc_test_20210826-010504.csv
1,50,10,1,./data/acc_test_20210826-010640.csv
1,50,10,3,./data/acc_test_20210826-010856.csv
1,50,10,3,./data/acc_test_20210826-011126.csv
1,50,10,7,./data/acc_test_20210826-011612.csv
1,50,10,7,./data/acc_test_20210826-012025.csv
1,100,10,1,./data/acc_test_20210826-012217.csv
1,100,10,1,./data/acc_test_20210826-012411.csv
1,100,10,3,./data/acc_test_20210826-012632.csv
1,100,10,3,./data/acc_test_20210826-012850.csv
1,100,10,7,./data/acc_test_20210826-013258.csv
1,100,10,7,./data/acc_test_20210826-013706.csv
1,1000,10,1,./data/acc_test_20210826-014640.csv
1,1000,10,1,./data/acc_test_20210826-015612.csv
1,1000,10,3,./data/acc_test_20210826-021127.csv
1,1000,10,3,./data/acc_test_20210826-022847.csv
1,1000,10,7,./data/acc_test_20210826-025459.csv
1,1000,10,7,./data/acc_test_20210826-032122.csv
0.5,12,10,1,./data/acc_test_20210826-032150.csv
0.5,12,10,1,./data/acc_test_20210826-032216.csv
0.5,12,10,3,./data/acc_test_20210826-032301.csv
0.5,12,10,3,./data/acc_test_20210826-032346.csv
0.5,12,10,7,./data/acc_test_20210826-032508.csv
0.5,12,10,7,./data/acc_test_20210826-032631.csv
0.5,50,10,1,./data/acc_test_20210826-032709.csv
0.5,50,10,1,./data/acc_test_20210826-032748.csv
0.5,50,10,3,./data/acc_test_20210826-032852.csv
0.5,50,10,3,./data/acc_test_20210826-032955.csv
0.5,50,10,7,./data/acc_test_20210826-033148.csv
0.5,50,10,7,./data/acc_test_20210826-033343.csv
0.5,100,10,1,./data/acc_test_20210826-033435.csv
0.5,100,10,1,./data/acc_test_20210826-033526.csv
0.5,100,10,3,./data/acc_test_20210826-033644.csv
0.5,100,10,3,./data/acc_test_20210826-033800.csv
0.5,100,10,7,./data/acc_test_20210826-034011.csv
0.5,100,10,7,./data/acc_test_20210826-034219.csv
0.5,1000,10,1,./data/acc_test_20210826-034744.csv
0.5,1000,10,1,./data/acc_test_20210826-035311.csv
0.5,1000,10,3,./data/acc_test_20210826-040123.csv
0.5,1000,10,3,./data/acc_test_20210826-040930.csv
0.5,1000,10,7,./data/acc_test_20210826-042309.csv
0.5,1000,10,7,./data/acc_test_20210826-043636.csv
0.1,12,10,1,./data/acc_test_20210826-043656.csv
0.1,12,10,1,./data/acc_test_20210826-043714.csv
0.1,12,10,3,./data/acc_test_20210826-043739.csv
0.1,12,10,3,./data/acc_test_20210826-043803.csv
0.1,12,10,7,./data/acc_test_20210826-043841.csv
0.1,12,10,7,./data/acc_test_20210826-043918.csv
0.1,50,10,1,./data/acc_test_20210826-043940.csv
0.1,50,10,1,./data/acc_test_20210826-044003.csv
0.1,50,10,3,./data/acc_test_20210826-044030.csv
0.1,50,10,3,./data/acc_test_20210826-044057.csv
0.1,50,10,7,./data/acc_test_20210826-044134.csv
0.1,50,10,7,./data/acc_test_20210826-044212.csv
0.1,100,10,1,./data/acc_test_20210826-044240.csv
0.1,100,10,1,./data/acc_test_20210826-044309.csv
0.1,100,10,3,./data/acc_test_20210826-044343.csv
0.1,100,10,3,./data/acc_test_20210826-044417.csv
0.1,100,10,7,./data/acc_test_20210826-044501.csv
0.1,100,10,7,./data/acc_test_20210826-044546.csv
0.1,1000,10,1,./data/acc_test_20210826-044823.csv
0.1,1000,10,1,./data/acc_test_20210826-045101.csv
0.1,1000,10,3,./data/acc_test_20210826-045411.csv
0.1,1000,10,3,./data/acc_test_20210826-045720.csv
0.1,1000,10,7,./data/acc_test_20210826-050133.csv
0.1,1000,10,7,./data/acc_test_20210826-050545.csv
